id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1334751454305906689,1334751454305906689,2020-12-04 01:48:39 Eastern Standard Time,2020-12-04,01:48:39,-0500,724243674,freddymckay89,Freddy McKay [SDMN],,I wish pharmaceutical company would put as much energy in a cancer cure or Alzheimer or other illness as they did for the covid vaccine.,en,[],[],[],0,0,0,[],[],https://twitter.com/freddymckay89/status/1334751454305906689,False,,0,,Montreal,,,,,,[],,,,
1334711016953942016,1334711016953942016,2020-12-03 23:07:58 Eastern Standard Time,2020-12-03,23:07:58,-0500,2292958556,lilianamaguti,Liliana Gutierrez,,"First COVID-19 vaccine could be delivered to distribution points as early as end of December, Fortin says  https://t.co/JBSOZmm8Op",en,[],['https://www.cbc.ca/news/politics/vaccine-distribution-plan-1.5826494'],[],0,0,0,[],[],https://twitter.com/Lilianamaguti/status/1334711016953942016,False,,0,,Montreal,,,,,,[],,,,
1334241315882553344,1334241315882553344,2020-12-02 16:01:33 Eastern Standard Time,2020-12-02,16:01:33,-0500,811533451,mtlblog,MTL Blog,"{'type': 'Point', 'coordinates': [45.49987026, -73.56300186]}",65 People In Quebec Will Be Among The First To Get A Trial COVID-19 Vaccine  https://t.co/OwQotFrAfE #News #Montreal,en,[],['http://dlvr.it/RmslxQ'],[],0,3,4,"['news', 'montreal']",[],https://twitter.com/mtlblog/status/1334241315882553344,False,,0,,Montreal,,,,,,[],,,,
1334166832417300480,1334166832417300480,2020-12-02 11:05:35 Eastern Standard Time,2020-12-02,11:05:35,-0500,189812607,dancarnelly,Dan Carnelly,,"So the EU needs agreement from 27 member states pushing its decision to the end of year/early 2021, making them look a little bad. Independence has its privileges after all.  EU criticises 'hasty' UK approval of COVID-19 vaccine | Article [AMP] | Reuters  https://t.co/gaEDRtMUXx",en,[],['https://uk.reuters.com/article/uk-health-coronavirus-britain-eu-idUKKBN28C12X'],[],0,0,0,[],[],https://twitter.com/dancarnelly/status/1334166832417300480,False,,0,,Montreal,,,,,,[],,,,
1334102707259502594,1334102204635115521,2020-12-02 06:50:46 Eastern Standard Time,2020-12-02,06:50:46,-0500,56837610,enamhto,Othmane El-Ghali #MettezUnMasqueBordel,,"“It is essential that law enforcement is as prepared as possible for what will be an onslaught of all types of criminal activity linked to the COVID-19 vaccine, which is why INTERPOL has issued this global warning,” concluded Secretary General Stock.",en,[],[],[],0,0,0,[],[],https://twitter.com/enamhto/status/1334102707259502594,False,,0,,Montreal,,,,,,[],,,,
1334102447699218433,1334102204635115521,2020-12-02 06:49:44 Eastern Standard Time,2020-12-02,06:49:44,-0500,56837610,enamhto,Othmane El-Ghali #MettezUnMasqueBordel,,"INTERPOL - INTERPOL warns of organized crime threat to COVID-19 vaccines  https://t.co/XQ11sL5n9K",en,[],['https://www.interpol.int/en/News-and-Events/News/2020/INTERPOL-warns-of-organized-crime-threat-to-COVID-19-vaccines'],[],1,0,0,[],[],https://twitter.com/enamhto/status/1334102447699218433,False,,0,,Montreal,,,,,,[],,,,
1333567643702472704,1333567643702472704,2020-11-30 19:24:37 Eastern Standard Time,2020-11-30,19:24:37,-0500,73060093,monikemoussa,monique moussa,,That moment when a 2020 vaccin is effective 💯 but a toothpaste from 18xx is still effective for 99.9% 😋 #CovidVaccine,en,[],[],[],0,0,2,['covidvaccine'],[],https://twitter.com/monikemoussa/status/1333567643702472704,False,,0,,Montreal,,,,,,[],,,,
1331978105943101440,1331978105943101440,2020-11-26 10:08:22 Eastern Standard Time,2020-11-26,10:08:22,-0500,1545074047,hindalatassi,و مِن شرّ حاسدٍ إِذا حَسَد,,Doctors say CDC should warn people the side effects from Covid vaccine shots won't be 'a walk in the park'  https://t.co/Fano2oh0uP #publichealth #coronavirus #COVIDー19,en,[],['https://cnb.cx/36YYBm0'],[],0,0,0,"['publichealth', 'coronavirus', 'covidー19']",[],https://twitter.com/Hindalatassi/status/1331978105943101440,False,,0,,Montreal,,,,,,[],,,,
1331906303124402182,1331906303124402182,2020-11-26 05:23:02 Eastern Standard Time,2020-11-26,05:23:02,-0500,191092262,pairsonnalitesn,Stigmabase | NORDIC,"{'type': 'Point', 'coordinates': [45.6677507, -73.47935661]}","Fighting Stigma : Coronavirus: Ireland Signs Up For Advanced Purchase Of Covid-19 Vaccines: It will say the child and adolescent mental health service is 40 per cent under-staffed, with over 2,000 kids waiting for their first appointment. Psychiatry ...  https://t.co/12Ibe7H2x6",en,[],['http://dlvr.it/RmSWf8'],[],0,0,0,[],[],https://twitter.com/pairsonnalitesN/status/1331906303124402182,False,,0,,Montreal,,,,,,[],,,,
1331050017663180801,1331050017663180801,2020-11-23 20:40:28 Eastern Standard Time,2020-11-23,20:40:28,-0500,3002043308,chippwsmith,Chip Smith,,"Great to catch PEI Premier, @dennyking on CTV Power Play with @EvanLSolomon, this evening! Important discussions on the bursting of the bubble and vaccines. As Atlantic Canada combats its second wave of covid, I’m glad that we’ve got Premier King’s calm leadership! #ctvpp",en,"[{'screen_name': 'dennyking', 'name': 'dennis king', 'id': '1206179328'}, {'screen_name': 'evanlsolomon', 'name': 'evan solomon', 'id': '180887271'}]",[],[],0,0,1,['ctvpp'],[],https://twitter.com/ChipPWSmith/status/1331050017663180801,False,,0,,Montreal,,,,,,[],,,,
