id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1367251706745094145	1367251706745094145	2021-03-03 18:13:03 Eastern Standard Time	2021-03-03	18:13:03	-0500	1170005964	citynewsmtl	CityNews Montreal		"""It might be able to evade our immune system's detection or our vaccine derived immune system,"" says Dr. Leighanne Parkes, about the rising cases of COVID variants in the province. @SamsaraCityNews has more. �  https://t.co/pm0uKf0Gyx"	en	[{'screen_name': 'samsaracitynews', 'name': 'samsara rainville', 'id': '816772532326035456'}]	[]	[]	0	0	0	[]	[]	https://twitter.com/CityNewsMTL/status/1367251706745094145	False		1	https://pbs.twimg.com/amplify_video_thumb/1367251394110046209/img/SBfUDJvGMpN03MZZ.jpg	Montreal						[]				
1367247710747648001	1367247710747648001	2021-03-03 17:57:11 Eastern Standard Time	2021-03-03	17:57:11	-0500	336479815	gjarsenault	GJ Arsenault ❤🇨🇦😷		"""Second doses of COVID-19 vaccine can be delayed up to four months, NACI recommends""   https://t.co/qUucNrb5pz"	en	[]	['https://twitter.com/i/events/1367236019209129988']	[]	0	0	0	[]	[]	https://twitter.com/GJArsenault/status/1367247710747648001	False		0		Montreal						[]				
1367246902954180610	1367235126258728969	2021-03-03 17:53:58 Eastern Standard Time	2021-03-03	17:53:58	-0500	19011260	fagstein	Steve Faguy		Quebec is extending the interval between COVID-19 vaccine doses from three months to four (16 weeks)  https://t.co/MQrU87kyZD	en	[]	['https://www.newswire.ca/fr/news-releases/pandemie-de-la-covid-19-un-intervalle-de-16-semaines-entre-les-deux-doses-de-vaccin-887141453.html']	[]	1	1	1	[]	[]	https://twitter.com/fagstein/status/1367246902954180610	False		0		Montreal						[]				
1367242642925314056	1367242642925314056	2021-03-03 17:37:02 Eastern Standard Time	2021-03-03	17:37:02	-0500	1243954974226341890	covid19__canada	worried about Covid19		Health Canada allows warmer storage conditions for Pfizer COVID-19 vaccine  https://t.co/0CAgIdBdQ2  https://t.co/lSfZwcKXfM The Pfizer-BioNTech coronavirus vaccine can now be stored and shipped “at standard freezer temperatures” for up to 14 days, Health Canada said in a statem…	en	[]	['https://ift.tt/30bwCMI', 'https://ift.tt/eA8V8J']	[]	0	0	0	[]	[]	https://twitter.com/covid19__canada/status/1367242642925314056	False		0		Montreal						[]				
1367241408084668416	1367241408084668416	2021-03-03 17:32:08 Eastern Standard Time	2021-03-03	17:32:08	-0500	454278875	inrodwetrustmtl	Rod Francis		This whole 70+ vaccine can they or can't they has been a speculator case of poor communication and poor execution. One part of the government thought one thing while the Cabinet thought something else. #Covid_19 #vaccine #cdnpoli #quebec	en	[]	[]	[]	1	0	0	['covid_19', 'vaccine', 'cdnpoli', 'quebec']	[]	https://twitter.com/InRodWeTrustMTL/status/1367241408084668416	False	https://twitter.com/mtlgazette/status/1367235407495237634	0		Montreal						[]				
1367236204475936774	1367235126258728969	2021-03-03 17:11:27 Eastern Standard Time	2021-03-03	17:11:27	-0500	19011260	fagstein	Steve Faguy		Legault says Quebec will get 800,000 COVID-19 vaccine doses in March. This will almost double the rate they are currently coming.	en	[]	[]	[]	1	2	7	[]	[]	https://twitter.com/fagstein/status/1367236204475936774	False		0		Montreal						[]				
1367235407495237634	1367235407495237634	2021-03-03 17:08:17 Eastern Standard Time	2021-03-03	17:08:17	-0500	63177215	mtlgazette	Montreal Gazette		Quebec now says only caregivers 70 and older can receive COVID-19 vaccine  https://t.co/RZUrlBvAOx  https://t.co/FVX0uOCwU2	en	[]	['https://montrealgazette.com/news/local-news/quebec-now-says-only-caregivers-70-and-older-can-receive-covid-19-vaccine?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1614809256']	['https://pbs.twimg.com/media/EvllW3kWYAMVYWv.jpg']	3	3	2	[]	[]	https://twitter.com/mtlgazette/status/1367235407495237634	False		1	https://pbs.twimg.com/media/EvllW3kWYAMVYWv.jpg	Montreal						[]				
1367233518603034628	1367233518603034628	2021-03-03 17:00:47 Eastern Standard Time	2021-03-03	17:00:47	-0500	28031009	sheena6076	Sheena		Just because someone isn’t sure about the Covid vaccine and doesn’t want to get it now, does not make them an ‘anti vaxer’ nor should they be judged for their personal choice either.  I’m seeing so many different opinions on it and so many people attacking others, it’s crazy.	en	[]	[]	[]	2	0	5	[]	[]	https://twitter.com/Sheena6076/status/1367233518603034628	False		0		Montreal						[]				
1367230882004762626	1367230882004762626	2021-03-03 16:50:18 Eastern Standard Time	2021-03-03	16:50:18	-0500	20881043	lasallerules	Emanuel Wall		@francoislegault of course the English are not worth saving. @JustinTrudeau 'A slap in the face': Eligible Quebec seniors say they couldn't book vaccine appointments on English website  https://t.co/bMjDQ1BQZ7 Quebec where 3.6 Covid cases end in death. Which is twice the USA rate	en	[{'screen_name': 'justintrudeau', 'name': 'justin trudeau', 'id': '14260960'}]	['https://beta.ctvnews.ca/local/montreal/2021/3/3/1_5331821.html']	[]	0	0	0	[]	[]	https://twitter.com/LasalleRules/status/1367230882004762626	False		0		Montreal						[]				
1367230803911049216	1367230803911049216	2021-03-03 16:50:00 Eastern Standard Time	2021-03-03	16:50:00	-0500	218565801	global_montreal	Global Montreal		It is the third COVID-19 vaccine approved for use in Canada.   https://t.co/e2h9EdjbS4	en	[]	['http://trib.al/xNnmPXs']	[]	0	0	0	[]	[]	https://twitter.com/Global_Montreal/status/1367230803911049216	False		0		Montreal						[]				
